iter	Passed	Remaining
0	0	32
1	0	25
2	0	23
3	0	21
4	1	20
5	1	19
6	1	18
7	1	18
8	1	17
9	1	17
10	2	16
11	2	16
12	2	16
13	2	16
14	2	15
15	2	15
16	3	15
17	3	15
18	3	14
19	3	14
20	3	14
21	3	14
22	4	13
23	4	13
24	4	13
25	4	13
26	4	12
27	4	12
28	5	12
29	5	12
30	5	12
31	6	12
32	6	13
33	6	12
34	6	12
35	7	12
36	7	12
37	7	12
38	7	11
39	7	11
40	7	11
41	8	11
42	8	10
43	8	10
44	8	10
45	8	10
46	8	9
47	8	9
48	9	9
49	9	9
50	9	9
51	9	8
52	9	8
53	10	8
54	10	8
55	10	8
56	10	8
57	10	7
58	10	7
59	11	7
60	11	7
61	11	7
62	11	6
63	11	6
64	11	6
65	12	6
66	12	6
67	12	5
68	12	5
69	13	5
70	13	5
71	13	5
72	13	5
73	13	4
74	13	4
75	14	4
76	14	4
77	14	4
78	14	3
79	14	3
80	14	3
81	15	3
82	15	3
83	15	2
84	15	2
85	15	2
86	16	2
87	16	2
88	16	2
89	16	1
90	16	1
91	17	1
92	17	1
93	17	1
94	17	0
95	17	0
96	17	0
97	18	0
98	18	0
99	18	0
